Jahr,Geburten,Sterbef채lle,Saldo (nat체rlich),Zuz체ge,Wegz체ge,Saldo (Aussenwanderungen),Gesamtsaldo,Einwohner
2018,6.8,6.5,0.3,33.9,26.9,7.0,7.3,597.0
2019,7.0,6.9,0.1,33.8,26.2,7.6,7.8,604.8
2020,7.1,6.9,0.2,31.6,26.4,5.2,5.4,610.2
2021,7.1,7.0,0.1,31.1,26.2,4.9,5.0,615.2
2022,7.1,7.0,0.1,30.7,26.1,4.6,4.6,619.8
2023,7.1,7.1,0.0,30.2,25.9,4.2,4.2,624.0
2024,7.0,7.2,-0.1,29.7,25.8,3.9,3.8,627.8
2025,7.0,7.2,-0.2,29.2,25.6,3.6,3.4,631.2
2026,7.0,7.3,-0.3,28.8,25.4,3.4,3.1,634.3
2027,7.0,7.3,-0.3,28.4,25.3,3.2,2.8,637.2
2028,7.0,7.4,-0.4,28.1,25.1,3.0,2.6,639.8
2029,7.0,7.4,-0.4,27.7,24.9,2.8,2.4,642.1
2030,7.0,7.4,-0.4,27.3,24.7,2.6,2.2,644.3
2031,7.0,7.4,-0.4,27.2,24.6,2.5,2.1,646.4
2032,7.0,7.4,-0.4,27.0,24.5,2.5,2.1,648.6
2033,7.0,7.3,-0.3,26.9,24.4,2.5,2.1,650.7
2034,7.0,7.3,-0.2,26.7,24.3,2.4,2.2,652.9
2035,7.1,7.2,-0.2,26.6,24.2,2.4,2.2,655.1
2036,7.1,7.2,-0.1,26.4,24.1,2.3,2.2,657.3
2037,7.1,7.2,-0.1,26.3,24.0,2.2,2.1,659.4
2038,7.1,7.2,-0.1,26.1,23.9,2.2,2.1,661.5
2039,7.1,7.2,0.0,25.9,23.9,2.1,2.0,663.5
2040,7.2,7.2,0.0,25.8,23.8,2.0,2.0,665.5
